2026-05-18 13:13:05,820 | src.services.queries | INFO | get_publicaciones: 5 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 92})
2026-05-18 13:13:05,823 | src.services.queries | INFO | get_publicaciones: 2 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 72})
2026-05-18 13:13:05,827 | src.services.queries | INFO | get_publicaciones: 22 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 74})
2026-05-18 13:13:05,829 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 93})
2026-05-18 13:13:05,832 | src.services.queries | INFO | get_publicaciones: 31 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 61})
2026-05-18 13:13:05,836 | src.services.queries | INFO | get_publicaciones: 81 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 87})
2026-05-18 13:13:05,839 | src.services.queries | INFO | get_publicaciones: 13 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 85})
2026-05-18 13:13:05,842 | src.services.queries | INFO | get_publicaciones: 14 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 90})
2026-05-18 13:13:05,844 | src.services.queries | INFO | get_publicaciones: 9 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 63})
2026-05-18 13:13:05,848 | src.services.queries | INFO | get_publicaciones: 42 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 95})
2026-05-18 13:13:05,851 | src.services.queries | INFO | get_publicaciones: 6 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 57})
2026-05-18 13:13:05,854 | src.services.queries | INFO | get_publicaciones: 3 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 59})
2026-05-18 13:13:05,856 | dashboard.pages.resumen_division | INFO | Renderizando layout_resumen
2026-05-18 23:05:12,326 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 23:05:12,346 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 23:05:12,421 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: ninguno)
2026-05-18 23:05:12,501 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 23:05:12,557 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 23:05:12,573 | src.services.metrics | INFO | generar_kpis_resumen: 4758 publicaciones, h_index=86
2026-05-18 23:05:12,579 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 23:05:12,627 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 23:05:12,633 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 23:05:12,641 | src.services.queries | INFO | get_publicaciones: 242 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 3})
2026-05-18 23:05:12,651 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 1})
